image name,pedestrian in image,model prediction
DSCF0042.JPG,FALSE,FALSE
DSCF0043.JPG,FALSE,TRUE
DSCF0041.JPG,FALSE,FALSE
DSCF0018.JPG,FALSE,FALSE
DSCF0019.JPG,FALSE,FALSE
DSCF0022.JPG,FALSE,FALSE
DSCF0023.JPG,FALSE,FALSE
DSCF0011.JPG,FALSE,FALSE
DSCF0185.JPG,FALSE,TRUE
DSCF0178.JPG,FALSE,FALSE
DSCF0187.JPG,FALSE,FALSE
DSCF0233.JPG,FALSE,FALSE
DSCF0186.JPG,FALSE,TRUE
DSCF0179.JPG,FALSE,FALSE
DSCF0182.JPG,FALSE,FALSE
DSCF0009.JPG,FALSE,FALSE
DSCF0183.JPG,FALSE,FALSE
DSCF0181.JPG,FALSE,TRUE
DSCF0234.JPG,FALSE,FALSE
DSCF0235.JPG,FALSE,FALSE
DSCF0050.JPG,FALSE,FALSE
DSCF0246.JPG,FALSE,Not found
DSCF0247.JPG,FALSE,Not found
DSCF0045.JPG,FALSE,FALSE
DSCF0051.JPG,FALSE,FALSE
DSCF0047.JPG,FALSE,FALSE
DSCF0053.JPG,FALSE,TRUE
DSCF0245.JPG,FALSE,Not found
DSCF0251.JPG,FALSE,Not found
DSCF0250.JPG,FALSE,Not found
DSCF0046.JPG,FALSE,FALSE
DSCF0241.JPG,FALSE,Not found
DSCF0055.JPG,FALSE,FALSE
DSCF0243.JPG,FALSE,Not found
DSCF0242.JPG,FALSE,Not found
DSCF0054.JPG,FALSE,FALSE
DSCF0065.JPG,FALSE,TRUE
DSCF0066.JPG,FALSE,FALSE
DSCF0067.JPG,FALSE,FALSE
DSCF0063.JPG,FALSE,FALSE
DSCF0249.JPG,FALSE,Not found
DSCF0062.JPG,FALSE,FALSE
DSCF0049.JPG,FALSE,FALSE
DSCF0061.JPG,FALSE,Not found
DSCF0173.JPG,FALSE,Not found
DSCF0174.JPG,FALSE,Not found
DSCF0175.JPG,FALSE,Not found
DSCF0177.JPG,FALSE,Not found
